topic_id,label,authored_families,families_with_100_variants,questions,target_200_distinct_types_met,expert_validated_types
1.1,Amount and mass,2,1,101,False,0
1.2,Isotopic abundance,6,5,501,False,0
1.3,Formula from composition,1,0,1,False,0
1.4,Mixture fractions,1,0,1,False,0
1.5,Electron occupancy,1,0,1,False,0
1.6,Electron binding spectra,1,0,1,False,0
1.7,Atomic size trends,1,0,1,False,0
1.8,Charge-balanced formulas,1,0,1,False,0
2.1,Bond character,1,0,1,False,0
2.2,Bond energy curves,5,4,401,False,0
2.3,Ionic lattice cohesion,1,0,1,False,0
2.4,Metallic solids,1,0,1,False,0
2.5,Electron-dot structures,1,0,1,False,0
2.6,Resonance accounting,2,0,4,False,0
2.7,Shape and polarity,5,4,401,False,0
3.1,Attractions between particles,1,0,1,False,0
3.2,Solid classifications,1,0,1,False,0
3.3,Particle motion in phases,1,0,1,False,0
3.4,Gas state calculations,14,13,1301,False,0
3.5,Gas kinetic model,1,0,1,False,0
3.6,Real-gas limits,1,0,1,False,0
3.7,Concentration definitions,2,1,101,False,0
3.8,Dissolved-ion diagrams,2,0,2,False,0
3.9,Separation reasoning,1,0,1,False,0
3.10,Dissolution energetics,1,0,1,False,0
3.11,Spectral transitions,1,0,1,False,0
3.12,Photon relationships,2,1,101,False,0
3.13,Optical concentration measurements,12,9,903,False,0
4.1,Reaction evidence,1,0,1,False,0
4.2,Spectator removal,1,0,1,False,0
4.3,Reaction particle bookkeeping,2,0,2,False,0
4.4,Physical versus chemical change,1,0,1,False,0
4.5,Limiting-reactant logic,2,1,101,False,0
4.6,Titration equivalence,3,1,102,False,0
4.7,Reaction classification,1,0,1,False,0
4.8,Proton-transfer pairs,1,0,1,False,0
4.9,Electron transfer accounting,1,0,1,False,0
5.1,Coefficient-normalized rates,1,0,1,False,0
5.2,Empirical rate exponents,6,4,402,False,0
5.3,Linear kinetic plots,17,15,1502,False,0
5.4,Elementary events,1,0,1,False,0
5.5,Effective collisions,5,4,401,False,0
5.6,Activation barriers,1,0,1,False,0
5.7,Mechanism cancellation,1,0,1,False,0
5.8,Mechanism rate expressions,1,0,1,False,0
5.9,Fast prior equilibrium,1,0,1,False,0
5.10,Multiple energy barriers,1,0,1,False,0
5.11,Catalytic pathways,1,0,1,False,0
6.1,Heat-flow signs,1,0,1,False,0
6.2,End-state energy diagrams,1,0,1,False,0
6.3,Thermal contact,1,0,1,False,0
6.4,Calorimetric balance,7,5,502,False,0
6.5,Latent heat,1,0,1,False,0
6.6,Reaction-enthalpy scaling,2,1,101,False,0
6.7,Average bond-energy estimates,1,0,1,False,0
6.8,Formation reference states,1,0,1,False,0
6.9,Path-independent enthalpy,1,0,1,False,0
7.1,Dynamic balance,5,4,401,False,0
7.2,Reaction direction,1,0,1,False,0
7.3,Activity expressions,1,0,1,False,0
7.4,Equilibrium data,2,1,101,False,0
7.5,Extent versus rate,1,0,1,False,0
7.6,Reversing equilibria,1,0,1,False,0
7.7,Equilibrium bookkeeping,2,1,101,False,0
7.8,Equilibrium particle pictures,1,0,1,False,0
7.9,Disturbing equilibria,5,4,401,False,0
7.10,Gas compression,1,0,1,False,0
7.11,Solubility products,3,2,201,False,0
7.12,Shared ions,5,4,401,False,0
8.1,Acid-base roles,1,0,1,False,0
8.2,Logarithmic acidity,2,1,101,False,0
8.3,Weak-electrolyte balance,6,5,501,False,0
8.4,Buffer after reaction,1,0,1,False,0
8.5,Titration curve regions,9,8,801,False,0
8.6,Structure and acidity,1,0,1,False,0
8.7,pH and speciation,5,4,401,False,0
8.8,Buffer action,1,0,1,False,0
8.9,Buffer-ratio formula,2,1,101,False,0
8.10,Capacity versus pH,1,0,1,False,0
8.11,pH-dependent dissolution,1,0,1,False,0
9.1,Entropy reasoning,1,0,1,False,0
9.2,Entropy bookkeeping,1,0,1,False,0
9.3,Free-energy criterion,6,5,501,False,0
9.4,Kinetic persistence,1,0,1,False,0
9.5,Free energy and K,2,1,101,False,0
9.6,Dissolution free energy,1,0,1,False,0
9.7,Coupled transformations,1,0,1,False,0
9.8,Cell charge transport,1,0,1,False,0
9.9,Potential and scaling,2,1,101,False,0
9.10,Nonstandard cells,6,5,501,False,0
9.11,Charge-to-amount conversion,6,5,501,False,0
