family_id,topic_id,variants,unique_prompt_parameter_pairs,meets_100_variants,answer_kind,correct_wrong_nonfinite_checks,expert_reviewed,first_id,last_id
L-01,3.13,1,1,False,explanation,not_numeric,False,L-01,L-01
L-02,6.4,1,1,False,explanation,not_numeric,False,L-02,L-02
L-03,3.13,1,1,False,explanation,not_numeric,False,L-03,L-03
L-04,4.3,1,1,False,explanation,not_numeric,False,L-04,L-04
L-05,5.2,1,1,False,explanation,not_numeric,False,L-05,L-05
L-06,3.8,1,1,False,explanation,not_numeric,False,L-06,L-06
L-07,4.6,1,1,False,explanation,not_numeric,False,L-07,L-07
L-08,5.3,1,1,False,explanation,not_numeric,False,L-08,L-08
absorbance,3.13,100,100,True,numeric,pass,False,absorbance-01,absorbance-100
buffer,8.9,100,100,True,numeric,pass,False,buffer-01,buffer-100
cell_energy,9.9,100,100,True,numeric,pass,False,cell_energy-01,cell_energy-100
concept-1.1,1.1,1,1,False,explanation,not_numeric,False,C-1.1,C-1.1
concept-1.2,1.2,1,1,False,explanation,not_numeric,False,C-1.2,C-1.2
concept-1.3,1.3,1,1,False,explanation,not_numeric,False,C-1.3,C-1.3
concept-1.4,1.4,1,1,False,explanation,not_numeric,False,C-1.4,C-1.4
concept-1.5,1.5,1,1,False,explanation,not_numeric,False,C-1.5,C-1.5
concept-1.6,1.6,1,1,False,explanation,not_numeric,False,C-1.6,C-1.6
concept-1.7,1.7,1,1,False,explanation,not_numeric,False,C-1.7,C-1.7
concept-1.8,1.8,1,1,False,explanation,not_numeric,False,C-1.8,C-1.8
concept-2.1,2.1,1,1,False,explanation,not_numeric,False,C-2.1,C-2.1
concept-2.2,2.2,1,1,False,explanation,not_numeric,False,C-2.2,C-2.2
concept-2.3,2.3,1,1,False,explanation,not_numeric,False,C-2.3,C-2.3
concept-2.4,2.4,1,1,False,explanation,not_numeric,False,C-2.4,C-2.4
concept-2.5,2.5,1,1,False,explanation,not_numeric,False,C-2.5,C-2.5
concept-2.6,2.6,1,1,False,explanation,not_numeric,False,C-2.6,C-2.6
concept-2.7,2.7,1,1,False,explanation,not_numeric,False,C-2.7,C-2.7
concept-3.1,3.1,1,1,False,explanation,not_numeric,False,C-3.1,C-3.1
concept-3.10,3.10,1,1,False,explanation,not_numeric,False,C-3.10,C-3.10
concept-3.11,3.11,1,1,False,explanation,not_numeric,False,C-3.11,C-3.11
concept-3.12,3.12,1,1,False,explanation,not_numeric,False,C-3.12,C-3.12
concept-3.13,3.13,1,1,False,explanation,not_numeric,False,C-3.13,C-3.13
concept-3.2,3.2,1,1,False,explanation,not_numeric,False,C-3.2,C-3.2
concept-3.3,3.3,1,1,False,explanation,not_numeric,False,C-3.3,C-3.3
concept-3.4,3.4,1,1,False,explanation,not_numeric,False,C-3.4,C-3.4
concept-3.5,3.5,1,1,False,explanation,not_numeric,False,C-3.5,C-3.5
concept-3.6,3.6,1,1,False,explanation,not_numeric,False,C-3.6,C-3.6
concept-3.7,3.7,1,1,False,explanation,not_numeric,False,C-3.7,C-3.7
concept-3.8,3.8,1,1,False,explanation,not_numeric,False,C-3.8,C-3.8
concept-3.9,3.9,1,1,False,explanation,not_numeric,False,C-3.9,C-3.9
concept-4.1,4.1,1,1,False,explanation,not_numeric,False,C-4.1,C-4.1
concept-4.2,4.2,1,1,False,explanation,not_numeric,False,C-4.2,C-4.2
concept-4.3,4.3,1,1,False,explanation,not_numeric,False,C-4.3,C-4.3
concept-4.4,4.4,1,1,False,explanation,not_numeric,False,C-4.4,C-4.4
concept-4.5,4.5,1,1,False,explanation,not_numeric,False,C-4.5,C-4.5
concept-4.6,4.6,1,1,False,explanation,not_numeric,False,C-4.6,C-4.6
concept-4.7,4.7,1,1,False,explanation,not_numeric,False,C-4.7,C-4.7
concept-4.8,4.8,1,1,False,explanation,not_numeric,False,C-4.8,C-4.8
concept-4.9,4.9,1,1,False,explanation,not_numeric,False,C-4.9,C-4.9
concept-5.1,5.1,1,1,False,explanation,not_numeric,False,C-5.1,C-5.1
concept-5.10,5.10,1,1,False,explanation,not_numeric,False,C-5.10,C-5.10
concept-5.11,5.11,1,1,False,explanation,not_numeric,False,C-5.11,C-5.11
concept-5.2,5.2,1,1,False,explanation,not_numeric,False,C-5.2,C-5.2
concept-5.3,5.3,1,1,False,explanation,not_numeric,False,C-5.3,C-5.3
concept-5.4,5.4,1,1,False,explanation,not_numeric,False,C-5.4,C-5.4
concept-5.5,5.5,1,1,False,explanation,not_numeric,False,C-5.5,C-5.5
concept-5.6,5.6,1,1,False,explanation,not_numeric,False,C-5.6,C-5.6
concept-5.7,5.7,1,1,False,explanation,not_numeric,False,C-5.7,C-5.7
concept-5.8,5.8,1,1,False,explanation,not_numeric,False,C-5.8,C-5.8
concept-5.9,5.9,1,1,False,explanation,not_numeric,False,C-5.9,C-5.9
concept-6.1,6.1,1,1,False,explanation,not_numeric,False,C-6.1,C-6.1
concept-6.2,6.2,1,1,False,explanation,not_numeric,False,C-6.2,C-6.2
concept-6.3,6.3,1,1,False,explanation,not_numeric,False,C-6.3,C-6.3
concept-6.4,6.4,1,1,False,explanation,not_numeric,False,C-6.4,C-6.4
concept-6.5,6.5,1,1,False,explanation,not_numeric,False,C-6.5,C-6.5
concept-6.6,6.6,1,1,False,explanation,not_numeric,False,C-6.6,C-6.6
concept-6.7,6.7,1,1,False,explanation,not_numeric,False,C-6.7,C-6.7
concept-6.8,6.8,1,1,False,explanation,not_numeric,False,C-6.8,C-6.8
concept-6.9,6.9,1,1,False,explanation,not_numeric,False,C-6.9,C-6.9
concept-7.1,7.1,1,1,False,explanation,not_numeric,False,C-7.1,C-7.1
concept-7.10,7.10,1,1,False,explanation,not_numeric,False,C-7.10,C-7.10
concept-7.11,7.11,1,1,False,explanation,not_numeric,False,C-7.11,C-7.11
concept-7.12,7.12,1,1,False,explanation,not_numeric,False,C-7.12,C-7.12
concept-7.2,7.2,1,1,False,explanation,not_numeric,False,C-7.2,C-7.2
concept-7.3,7.3,1,1,False,explanation,not_numeric,False,C-7.3,C-7.3
concept-7.4,7.4,1,1,False,explanation,not_numeric,False,C-7.4,C-7.4
concept-7.5,7.5,1,1,False,explanation,not_numeric,False,C-7.5,C-7.5
concept-7.6,7.6,1,1,False,explanation,not_numeric,False,C-7.6,C-7.6
concept-7.7,7.7,1,1,False,explanation,not_numeric,False,C-7.7,C-7.7
concept-7.8,7.8,1,1,False,explanation,not_numeric,False,C-7.8,C-7.8
concept-7.9,7.9,1,1,False,explanation,not_numeric,False,C-7.9,C-7.9
concept-8.1,8.1,1,1,False,explanation,not_numeric,False,C-8.1,C-8.1
concept-8.10,8.10,1,1,False,explanation,not_numeric,False,C-8.10,C-8.10
concept-8.11,8.11,1,1,False,explanation,not_numeric,False,C-8.11,C-8.11
concept-8.2,8.2,1,1,False,explanation,not_numeric,False,C-8.2,C-8.2
concept-8.3,8.3,1,1,False,explanation,not_numeric,False,C-8.3,C-8.3
concept-8.4,8.4,1,1,False,explanation,not_numeric,False,C-8.4,C-8.4
concept-8.5,8.5,1,1,False,explanation,not_numeric,False,C-8.5,C-8.5
concept-8.6,8.6,1,1,False,explanation,not_numeric,False,C-8.6,C-8.6
concept-8.7,8.7,1,1,False,explanation,not_numeric,False,C-8.7,C-8.7
concept-8.8,8.8,1,1,False,explanation,not_numeric,False,C-8.8,C-8.8
concept-8.9,8.9,1,1,False,explanation,not_numeric,False,C-8.9,C-8.9
concept-9.1,9.1,1,1,False,explanation,not_numeric,False,C-9.1,C-9.1
concept-9.10,9.10,1,1,False,explanation,not_numeric,False,C-9.10,C-9.10
concept-9.11,9.11,1,1,False,explanation,not_numeric,False,C-9.11,C-9.11
concept-9.2,9.2,1,1,False,explanation,not_numeric,False,C-9.2,C-9.2
concept-9.3,9.3,1,1,False,explanation,not_numeric,False,C-9.3,C-9.3
concept-9.4,9.4,1,1,False,explanation,not_numeric,False,C-9.4,C-9.4
concept-9.5,9.5,1,1,False,explanation,not_numeric,False,C-9.5,C-9.5
concept-9.6,9.6,1,1,False,explanation,not_numeric,False,C-9.6,C-9.6
concept-9.7,9.7,1,1,False,explanation,not_numeric,False,C-9.7,C-9.7
concept-9.8,9.8,1,1,False,explanation,not_numeric,False,C-9.8,C-9.8
concept-9.9,9.9,1,1,False,explanation,not_numeric,False,C-9.9,C-9.9
dilution,3.7,100,100,True,numeric,pass,False,dilution-01,dilution-100
electrolysis,9.11,100,100,True,numeric,pass,False,electrolysis-01,electrolysis-100
equilibrium_extent,7.7,100,100,True,numeric,pass,False,equilibrium_extent-01,equilibrium_extent-100
equilibrium_ratio,7.4,100,100,True,numeric,pass,False,equilibrium_ratio-01,equilibrium_ratio-100
first_order,5.3,100,100,True,numeric,pass,False,first_order-01,first_order-100
formal_charge,2.6,3,3,False,numeric,pass,False,formal_charge-01,formal_charge-03
gibbs,9.3,100,100,True,numeric,pass,False,gibbs-01,gibbs-100
gibbs_K,9.5,100,100,True,numeric,pass,False,gibbs_K-01,gibbs_K-100
graph-acid_speciation-change,8.7,100,100,True,numeric,pass,False,G-acid_speciation-01-change,G-acid_speciation-100-change
graph-acid_speciation-difference_of_changes,8.7,100,100,True,numeric,pass,False,G-acid_speciation-01-difference_of_changes,G-acid_speciation-100-difference_of_changes
graph-acid_speciation-read,8.7,100,100,True,numeric,pass,False,G-acid_speciation-01-read,G-acid_speciation-100-read
graph-acid_speciation-secant,8.7,100,100,True,numeric,pass,False,G-acid_speciation-01-secant,G-acid_speciation-100-secant
graph-arrhenius-change,5.5,100,100,True,numeric,pass,False,G-arrhenius-01-change,G-arrhenius-100-change
graph-arrhenius-difference_of_changes,5.5,100,100,True,numeric,pass,False,G-arrhenius-01-difference_of_changes,G-arrhenius-100-difference_of_changes
graph-arrhenius-read,5.5,100,100,True,numeric,pass,False,G-arrhenius-01-read,G-arrhenius-100-read
graph-arrhenius-secant,5.5,100,100,True,numeric,pass,False,G-arrhenius-01-secant,G-arrhenius-100-secant
graph-beer_lambert-change,3.13,100,100,True,numeric,pass,False,G-beer_lambert-01-change,G-beer_lambert-100-change
graph-beer_lambert-difference_of_changes,3.13,100,100,True,numeric,pass,False,G-beer_lambert-01-difference_of_changes,G-beer_lambert-100-difference_of_changes
graph-beer_lambert-read,3.13,100,100,True,numeric,pass,False,G-beer_lambert-01-read,G-beer_lambert-100-read
graph-beer_lambert-secant,3.13,100,100,True,numeric,pass,False,G-beer_lambert-01-secant,G-beer_lambert-100-secant
graph-bond_dipole_sum-change,2.7,100,100,True,numeric,pass,False,G-bond_dipole_sum-01-change,G-bond_dipole_sum-100-change
graph-bond_dipole_sum-difference_of_changes,2.7,100,100,True,numeric,pass,False,G-bond_dipole_sum-01-difference_of_changes,G-bond_dipole_sum-100-difference_of_changes
graph-bond_dipole_sum-read,2.7,100,100,True,numeric,pass,False,G-bond_dipole_sum-01-read,G-bond_dipole_sum-100-read
graph-bond_dipole_sum-secant,2.7,100,100,True,numeric,pass,False,G-bond_dipole_sum-01-secant,G-bond_dipole_sum-100-secant
graph-common_ion-change,7.12,100,100,True,numeric,pass,False,G-common_ion-01-change,G-common_ion-100-change
graph-common_ion-difference_of_changes,7.12,100,100,True,numeric,pass,False,G-common_ion-01-difference_of_changes,G-common_ion-100-difference_of_changes
graph-common_ion-read,7.12,100,100,True,numeric,pass,False,G-common_ion-01-read,G-common_ion-100-read
graph-common_ion-secant,7.12,100,100,True,numeric,pass,False,G-common_ion-01-secant,G-common_ion-100-secant
graph-electrolysis_mass-change,9.11,100,100,True,numeric,pass,False,G-electrolysis_mass-01-change,G-electrolysis_mass-100-change
graph-electrolysis_mass-difference_of_changes,9.11,100,100,True,numeric,pass,False,G-electrolysis_mass-01-difference_of_changes,G-electrolysis_mass-100-difference_of_changes
graph-electrolysis_mass-read,9.11,100,100,True,numeric,pass,False,G-electrolysis_mass-01-read,G-electrolysis_mass-100-read
graph-electrolysis_mass-secant,9.11,100,100,True,numeric,pass,False,G-electrolysis_mass-01-secant,G-electrolysis_mass-100-secant
